feature,cluster,label
toy_data/s_1_feature.mat,toy_data/s_1_cluster_index.mat,2
toy_data/s_2_feature.mat,toy_data/s_2_cluster_index.mat,2
toy_data/s_3_feature.mat,toy_data/s_3_cluster_index.mat,2
toy_data/s_4_feature.mat,toy_data/s_4_cluster_index.mat,1
toy_data/s_5_feature.mat,toy_data/s_5_cluster_index.mat,2
toy_data/s_6_feature.mat,toy_data/s_6_cluster_index.mat,2
toy_data/s_7_feature.mat,toy_data/s_7_cluster_index.mat,1
toy_data/s_8_feature.mat,toy_data/s_8_cluster_index.mat,2
toy_data/s_9_feature.mat,toy_data/s_9_cluster_index.mat,1
toy_data/s_10_feature.mat,toy_data/s_10_cluster_index.mat,2
toy_data/s_11_feature.mat,toy_data/s_11_cluster_index.mat,1
toy_data/s_12_feature.mat,toy_data/s_12_cluster_index.mat,1
toy_data/s_13_feature.mat,toy_data/s_13_cluster_index.mat,2
toy_data/s_14_feature.mat,toy_data/s_14_cluster_index.mat,1
toy_data/s_15_feature.mat,toy_data/s_15_cluster_index.mat,1
toy_data/s_16_feature.mat,toy_data/s_16_cluster_index.mat,1
toy_data/s_17_feature.mat,toy_data/s_17_cluster_index.mat,1
toy_data/s_18_feature.mat,toy_data/s_18_cluster_index.mat,1
toy_data/s_19_feature.mat,toy_data/s_19_cluster_index.mat,1
toy_data/s_20_feature.mat,toy_data/s_20_cluster_index.mat,1
toy_data/s_21_feature.mat,toy_data/s_21_cluster_index.mat,1
toy_data/s_22_feature.mat,toy_data/s_22_cluster_index.mat,1
toy_data/s_23_feature.mat,toy_data/s_23_cluster_index.mat,1
toy_data/s_24_feature.mat,toy_data/s_24_cluster_index.mat,2
toy_data/s_25_feature.mat,toy_data/s_25_cluster_index.mat,1
toy_data/s_26_feature.mat,toy_data/s_26_cluster_index.mat,1
toy_data/s_27_feature.mat,toy_data/s_27_cluster_index.mat,2
toy_data/s_28_feature.mat,toy_data/s_28_cluster_index.mat,2
toy_data/s_29_feature.mat,toy_data/s_29_cluster_index.mat,2
toy_data/s_30_feature.mat,toy_data/s_30_cluster_index.mat,2
toy_data/s_31_feature.mat,toy_data/s_31_cluster_index.mat,1
toy_data/s_32_feature.mat,toy_data/s_32_cluster_index.mat,1
toy_data/s_33_feature.mat,toy_data/s_33_cluster_index.mat,2
toy_data/s_34_feature.mat,toy_data/s_34_cluster_index.mat,2
toy_data/s_35_feature.mat,toy_data/s_35_cluster_index.mat,2
toy_data/s_36_feature.mat,toy_data/s_36_cluster_index.mat,2
toy_data/s_37_feature.mat,toy_data/s_37_cluster_index.mat,1
toy_data/s_38_feature.mat,toy_data/s_38_cluster_index.mat,2
toy_data/s_39_feature.mat,toy_data/s_39_cluster_index.mat,1
toy_data/s_40_feature.mat,toy_data/s_40_cluster_index.mat,2
toy_data/s_41_feature.mat,toy_data/s_41_cluster_index.mat,2
toy_data/s_42_feature.mat,toy_data/s_42_cluster_index.mat,1
toy_data/s_43_feature.mat,toy_data/s_43_cluster_index.mat,1
toy_data/s_44_feature.mat,toy_data/s_44_cluster_index.mat,2
toy_data/s_45_feature.mat,toy_data/s_45_cluster_index.mat,2
toy_data/s_46_feature.mat,toy_data/s_46_cluster_index.mat,1
toy_data/s_47_feature.mat,toy_data/s_47_cluster_index.mat,1
toy_data/s_48_feature.mat,toy_data/s_48_cluster_index.mat,2
toy_data/s_49_feature.mat,toy_data/s_49_cluster_index.mat,1
toy_data/s_50_feature.mat,toy_data/s_50_cluster_index.mat,1
toy_data/s_51_feature.mat,toy_data/s_51_cluster_index.mat,1
toy_data/s_52_feature.mat,toy_data/s_52_cluster_index.mat,2
toy_data/s_53_feature.mat,toy_data/s_53_cluster_index.mat,2
toy_data/s_54_feature.mat,toy_data/s_54_cluster_index.mat,2
toy_data/s_55_feature.mat,toy_data/s_55_cluster_index.mat,2
toy_data/s_56_feature.mat,toy_data/s_56_cluster_index.mat,2
toy_data/s_57_feature.mat,toy_data/s_57_cluster_index.mat,1
toy_data/s_58_feature.mat,toy_data/s_58_cluster_index.mat,1
toy_data/s_59_feature.mat,toy_data/s_59_cluster_index.mat,2
toy_data/s_60_feature.mat,toy_data/s_60_cluster_index.mat,2
toy_data/s_61_feature.mat,toy_data/s_61_cluster_index.mat,1
toy_data/s_62_feature.mat,toy_data/s_62_cluster_index.mat,1
