feature,cluster,label
s_1_feature.mat,s_1_cluster_index.mat,2
s_2_feature.mat,s_2_cluster_index.mat,2
s_3_feature.mat,s_3_cluster_index.mat,2
s_5_feature.mat,s_5_cluster_index.mat,2
s_7_feature.mat,s_7_cluster_index.mat,1
s_8_feature.mat,s_8_cluster_index.mat,2
s_9_feature.mat,s_9_cluster_index.mat,1
s_10_feature.mat,s_10_cluster_index.mat,2
s_11_feature.mat,s_11_cluster_index.mat,1
s_12_feature.mat,s_12_cluster_index.mat,1
s_13_feature.mat,s_13_cluster_index.mat,2
s_14_feature.mat,s_14_cluster_index.mat,1
s_15_feature.mat,s_15_cluster_index.mat,1
s_16_feature.mat,s_16_cluster_index.mat,1
s_17_feature.mat,s_17_cluster_index.mat,1
s_18_feature.mat,s_18_cluster_index.mat,1
s_19_feature.mat,s_19_cluster_index.mat,1
s_20_feature.mat,s_20_cluster_index.mat,1
s_21_feature.mat,s_21_cluster_index.mat,1
s_22_feature.mat,s_22_cluster_index.mat,1
s_23_feature.mat,s_23_cluster_index.mat,1
s_24_feature.mat,s_24_cluster_index.mat,2
s_25_feature.mat,s_25_cluster_index.mat,1
s_26_feature.mat,s_26_cluster_index.mat,1
s_27_feature.mat,s_27_cluster_index.mat,2
s_28_feature.mat,s_28_cluster_index.mat,2
s_29_feature.mat,s_29_cluster_index.mat,2
s_30_feature.mat,s_30_cluster_index.mat,2
s_31_feature.mat,s_31_cluster_index.mat,1
s_32_feature.mat,s_32_cluster_index.mat,1
s_33_feature.mat,s_33_cluster_index.mat,2
s_34_feature.mat,s_34_cluster_index.mat,2
s_35_feature.mat,s_35_cluster_index.mat,2
s_36_feature.mat,s_36_cluster_index.mat,2
s_37_feature.mat,s_37_cluster_index.mat,1
s_38_feature.mat,s_38_cluster_index.mat,2
s_39_feature.mat,s_39_cluster_index.mat,1
s_40_feature.mat,s_40_cluster_index.mat,2
s_41_feature.mat,s_41_cluster_index.mat,2
s_42_feature.mat,s_42_cluster_index.mat,1
s_43_feature.mat,s_43_cluster_index.mat,1
s_44_feature.mat,s_44_cluster_index.mat,2
s_45_feature.mat,s_45_cluster_index.mat,2
s_46_feature.mat,s_46_cluster_index.mat,1
s_47_feature.mat,s_47_cluster_index.mat,1
s_48_feature.mat,s_48_cluster_index.mat,2
s_49_feature.mat,s_49_cluster_index.mat,1
s_50_feature.mat,s_50_cluster_index.mat,1
s_51_feature.mat,s_51_cluster_index.mat,1
s_52_feature.mat,s_52_cluster_index.mat,2
s_53_feature.mat,s_53_cluster_index.mat,2
s_54_feature.mat,s_54_cluster_index.mat,2
s_55_feature.mat,s_55_cluster_index.mat,2
s_56_feature.mat,s_56_cluster_index.mat,2
s_57_feature.mat,s_57_cluster_index.mat,1
s_58_feature.mat,s_58_cluster_index.mat,1
s_59_feature.mat,s_59_cluster_index.mat,2
s_60_feature.mat,s_60_cluster_index.mat,2
s_61_feature.mat,s_61_cluster_index.mat,1
s_62_feature.mat,s_62_cluster_index.mat,1
s_63_feature.mat,s_63_cluster_index.mat,1
s_64_feature.mat,s_64_cluster_index.mat,2
s_65_feature.mat,s_65_cluster_index.mat,1
s_66_feature.mat,s_66_cluster_index.mat,1
s_67_feature.mat,s_67_cluster_index.mat,1
s_68_feature.mat,s_68_cluster_index.mat,1
s_69_feature.mat,s_69_cluster_index.mat,2
s_70_feature.mat,s_70_cluster_index.mat,1
s_71_feature.mat,s_71_cluster_index.mat,2
s_72_feature.mat,s_72_cluster_index.mat,2
s_73_feature.mat,s_73_cluster_index.mat,2
s_74_feature.mat,s_74_cluster_index.mat,2
s_75_feature.mat,s_75_cluster_index.mat,2
s_76_feature.mat,s_76_cluster_index.mat,1
s_77_feature.mat,s_77_cluster_index.mat,2
s_78_feature.mat,s_78_cluster_index.mat,2
s_79_feature.mat,s_79_cluster_index.mat,2
s_80_feature.mat,s_80_cluster_index.mat,2
s_81_feature.mat,s_81_cluster_index.mat,2
s_82_feature.mat,s_82_cluster_index.mat,1
s_83_feature.mat,s_83_cluster_index.mat,1
s_84_feature.mat,s_84_cluster_index.mat,1
s_85_feature.mat,s_85_cluster_index.mat,1
s_86_feature.mat,s_86_cluster_index.mat,1
s_87_feature.mat,s_87_cluster_index.mat,2
s_88_feature.mat,s_88_cluster_index.mat,1
s_89_feature.mat,s_89_cluster_index.mat,2
s_90_feature.mat,s_90_cluster_index.mat,1
s_91_feature.mat,s_91_cluster_index.mat,1
s_92_feature.mat,s_92_cluster_index.mat,2
s_93_feature.mat,s_93_cluster_index.mat,2
s_94_feature.mat,s_94_cluster_index.mat,2
s_95_feature.mat,s_95_cluster_index.mat,1
